filename,tier,event,event_date,field_size,placement,archetype,source_url
2026-06_naic-2026-new-orleans_1st_lillies-clefairy.csv,high_performing,"NAIC 2026, New Orleans",2026-06-10,3752,1,Lillie's Clefairy,https://limitlesstcg.com/decks/list/28249
2026-06_naic-2026-new-orleans_4th_slowking.csv,high_performing,"NAIC 2026, New Orleans",2026-06-10,3752,4,Slowking,https://limitlesstcg.com/decks/list/28251
2026-06_naic-2026-new-orleans_13th_dragapult-dusknoir.csv,high_performing,"NAIC 2026, New Orleans",2026-06-10,3752,13,Dragapult Dusknoir,https://limitlesstcg.com/decks/list/28259
2026-06_naic-2026-new-orleans_20th_ogerpon-box.csv,high_performing,"NAIC 2026, New Orleans",2026-06-10,3752,20,Ogerpon Box,https://limitlesstcg.com/decks/list/28263
2026-06_naic-2026-new-orleans_21st_dragapult.csv,high_performing,"NAIC 2026, New Orleans",2026-06-10,3752,21,Dragapult,https://limitlesstcg.com/decks/list/27611
2026-06_naic-2026-new-orleans_24th_slowking.csv,high_performing,"NAIC 2026, New Orleans",2026-06-10,3752,24,Slowking,https://limitlesstcg.com/decks/list/28265
2026-06_naic-2026-new-orleans_28th_hydrapple.csv,high_performing,"NAIC 2026, New Orleans",2026-06-10,3752,28,Hydrapple,https://limitlesstcg.com/decks/list/28269
2026-06_naic-2026-new-orleans_34th_dragapult.csv,the_rest,"NAIC 2026, New Orleans",2026-06-10,3752,34,Dragapult,https://limitlesstcg.com/decks/list/27612
2026-06_naic-2026-new-orleans_36th_alakazam-dudunsparce.csv,the_rest,"NAIC 2026, New Orleans",2026-06-10,3752,36,Alakazam Dudunsparce,https://limitlesstcg.com/decks/list/28275
2026-06_naic-2026-new-orleans_39th_dragapult-dusknoir.csv,the_rest,"NAIC 2026, New Orleans",2026-06-10,3752,39,Dragapult Dusknoir,https://limitlesstcg.com/decks/list/28278
2026-06_naic-2026-new-orleans_40th_ns-zoroark.csv,the_rest,"NAIC 2026, New Orleans",2026-06-10,3752,40,N's Zoroark,https://limitlesstcg.com/decks/list/28279
2026-06_naic-2026-new-orleans_44th_dragapult-dusknoir.csv,the_rest,"NAIC 2026, New Orleans",2026-06-10,3752,44,Dragapult Dusknoir,https://limitlesstcg.com/decks/list/28283
2026-06_naic-2026-new-orleans_52nd_ogerpon-box.csv,the_rest,"NAIC 2026, New Orleans",2026-06-10,3752,52,Ogerpon Box,https://limitlesstcg.com/decks/list/28289
2026-06_naic-2026-new-orleans_54th_alakazam-dudunsparce.csv,the_rest,"NAIC 2026, New Orleans",2026-06-10,3752,54,Alakazam Dudunsparce,https://limitlesstcg.com/decks/list/28291
2026-06_naic-2026-new-orleans_55th_crustle.csv,the_rest,"NAIC 2026, New Orleans",2026-06-10,3752,55,Crustle,https://limitlesstcg.com/decks/list/28292
2026-06_naic-2026-new-orleans_58th_dragapult-blaziken.csv,the_rest,"NAIC 2026, New Orleans",2026-06-10,3752,58,Dragapult Blaziken,https://limitlesstcg.com/decks/list/28294
2026-06_naic-2026-new-orleans_63rd_crustle.csv,the_rest,"NAIC 2026, New Orleans",2026-06-10,3752,63,Crustle,https://limitlesstcg.com/decks/list/28299
2026-06_naic-2026-new-orleans_67th_ethans-typhlosion.csv,the_rest,"NAIC 2026, New Orleans",2026-06-10,3752,67,Ethan's Typhlosion,https://limitlesstcg.com/decks/list/28302
2026-06_naic-2026-new-orleans_69th_crustle.csv,the_rest,"NAIC 2026, New Orleans",2026-06-10,3752,69,Crustle,https://limitlesstcg.com/decks/list/28304
2026-06_naic-2026-new-orleans_73rd_crustle.csv,the_rest,"NAIC 2026, New Orleans",2026-06-10,3752,73,Crustle,https://limitlesstcg.com/decks/list/28305
2026-06_naic-2026-new-orleans_81st_dragapult-dusknoir.csv,the_rest,"NAIC 2026, New Orleans",2026-06-10,3752,81,Dragapult Dusknoir,https://limitlesstcg.com/decks/list/28311
2026-06_naic-2026-new-orleans_86th_lucario-hariyama.csv,the_rest,"NAIC 2026, New Orleans",2026-06-10,3752,86,Lucario Hariyama,https://limitlesstcg.com/decks/list/28314
2026-06_naic-2026-new-orleans_88th_ns-zoroark.csv,the_rest,"NAIC 2026, New Orleans",2026-06-10,3752,88,N's Zoroark,https://limitlesstcg.com/decks/list/28316
2026-06_naic-2026-new-orleans_91st_ceruledge.csv,the_rest,"NAIC 2026, New Orleans",2026-06-10,3752,91,Ceruledge,https://limitlesstcg.com/decks/list/28319
2026-06_naic-2026-new-orleans_92nd_dragapult-blaziken.csv,the_rest,"NAIC 2026, New Orleans",2026-06-10,3752,92,Dragapult Blaziken,https://limitlesstcg.com/decks/list/28320
2026-06_naic-2026-new-orleans_98th_dragapult.csv,the_rest,"NAIC 2026, New Orleans",2026-06-10,3752,98,Dragapult,https://limitlesstcg.com/decks/list/28324
